pango,R,seq_volume
XAP,-39.052093505859375,737
XAR,-35.33718490600586,439
XAS,2.4276723861694336,457
XAU,-31.61937141418457,221
XAY.1.1.1,49.34580612182617,201
XAY.2,32.8608512878418,309
XAZ,3.396075487136841,2459
XBB,27.005840301513672,1709
XBB.1,29.13458251953125,17800
XBB.1.1,26.428251266479492,1014
XBB.1.11.1,55.93989944458008,391
XBB.1.15,35.11893844604492,4076
XBB.1.16,68.68939971923828,22655
XBB.1.16.1,68.5137710571289,7872
XBB.1.16.10,67.63479614257812,467
XBB.1.16.11,80.44475555419922,1361
XBB.1.16.12,73.92366790771484,296
XBB.1.16.13,67.74376678466797,354
XBB.1.16.15,86.80052185058594,494
XBB.1.16.18,69.5552978515625,641
XBB.1.16.19,71.4491958618164,770
XBB.1.16.2,67.80187225341797,2138
XBB.1.16.20,69.16580200195312,277
XBB.1.16.21,71.60514831542969,464
XBB.1.16.22,65.33638000488281,354
XBB.1.16.3,66.09677124023438,534
XBB.1.16.4,64.3259048461914,349
XBB.1.16.5,69.2614517211914,382
XBB.1.16.6,83.38734436035156,2362
XBB.1.16.7,70.37850952148438,413
XBB.1.16.8,71.34941101074219,478
XBB.1.16.9,80.21967315673828,373
XBB.1.17.1,59.482662200927734,1060
XBB.1.18,40.314823150634766,360
XBB.1.18.1,57.55302429199219,1239
XBB.1.19.1,59.880340576171875,518
XBB.1.22,68.09454345703125,319
XBB.1.22.1,68.1824951171875,732
XBB.1.22.2,63.18153381347656,587
XBB.1.24.1,63.85072326660156,213
XBB.1.33,66.07109069824219,339
XBB.1.37.1,59.65143966674805,293
XBB.1.4,33.031524658203125,524
XBB.1.4.1,31.50531768798828,1470
XBB.1.42,69.90434265136719,379
XBB.1.42.2,75.0455093383789,1104
XBB.1.43.1,57.79067611694336,201
XBB.1.45.1,54.9286994934082,201
XBB.1.5,53.475711822509766,158310
XBB.1.5.1,57.4366455078125,3246
XBB.1.5.10,65.36109161376953,1801
XBB.1.5.100,58.94625473022461,564
XBB.1.5.11,50.29706954956055,1466
XBB.1.5.12,56.99597930908203,2298
XBB.1.5.13,54.008323669433594,6377
XBB.1.5.14,52.6473503112793,920
XBB.1.5.15,54.226959228515625,4516
XBB.1.5.16,53.11177444458008,2069
XBB.1.5.17,53.486793518066406,3033
XBB.1.5.18,54.078128814697266,2191
XBB.1.5.19,49.453914642333984,1332
XBB.1.5.2,55.48653793334961,964
XBB.1.5.20,54.28160858154297,2775
XBB.1.5.21,53.43962478637695,1627
XBB.1.5.22,48.53228759765625,314
XBB.1.5.23,56.42875289916992,1047
XBB.1.5.24,56.4875373840332,3222
XBB.1.5.25,53.881431579589844,659
XBB.1.5.26,55.60688018798828,237
XBB.1.5.27,60.104087829589844,297
XBB.1.5.28,62.85108184814453,643
XBB.1.5.3,55.15995788574219,492
XBB.1.5.30,58.60602569580078,789
XBB.1.5.31,52.23331832885742,2065
XBB.1.5.32,53.69679641723633,2692
XBB.1.5.33,51.5748176574707,2009
XBB.1.5.34,50.33603286743164,631
XBB.1.5.35,57.35067367553711,1289
XBB.1.5.36,53.48325729370117,580
XBB.1.5.37,61.91028594970703,3474
XBB.1.5.38,55.58381652832031,513
XBB.1.5.39,50.97647476196289,1015
XBB.1.5.4,58.18035888671875,1987
XBB.1.5.43,56.5701904296875,350
XBB.1.5.44,69.42842864990234,268
XBB.1.5.46,55.0148811340332,1619
XBB.1.5.47,55.69533157348633,690
XBB.1.5.48,52.90795135498047,2044
XBB.1.5.49,59.024742126464844,3065
XBB.1.5.5,57.6218147277832,1018
XBB.1.5.50,57.43077087402344,587
XBB.1.5.51,54.53938674926758,1525
XBB.1.5.52,54.55562210083008,1602
XBB.1.5.55,52.880489349365234,448
XBB.1.5.56,56.239688873291016,537
XBB.1.5.57,55.6552734375,504
XBB.1.5.59,68.62825775146484,642
XBB.1.5.6,51.26164627075195,279
XBB.1.5.60,55.52385711669922,337
XBB.1.5.61,53.961917877197266,636
XBB.1.5.62,55.11813735961914,965
XBB.1.5.63,54.43003845214844,1367
XBB.1.5.64,54.26810836791992,289
XBB.1.5.65,56.59782791137695,1457
XBB.1.5.66,55.22282028198242,1219
XBB.1.5.67,52.74522018432617,1591
XBB.1.5.69,57.322837829589844,571
XBB.1.5.7,52.81648635864258,6250
XBB.1.5.70,73.9166488647461,384
XBB.1.5.71,66.7718276977539,379
XBB.1.5.72,76.17373657226562,1124
XBB.1.5.73,61.741085052490234,1074
XBB.1.5.75,56.53111267089844,494
XBB.1.5.76,58.669185638427734,1065
XBB.1.5.77,58.35772705078125,1908
XBB.1.5.78,57.54927062988281,483
XBB.1.5.79,52.11148452758789,394
XBB.1.5.8,49.94829177856445,326
XBB.1.5.80,55.70734786987305,541
XBB.1.5.86,58.98154067993164,811
XBB.1.5.88,56.28731155395508,233
XBB.1.5.9,48.87194061279297,872
XBB.1.5.90,58.745357513427734,346
XBB.1.5.91,56.96510696411133,648
XBB.1.5.92,58.715660095214844,275
XBB.1.5.94,58.4045295715332,371
XBB.1.5.95,54.71584701538086,1345
XBB.1.5.96,54.493831634521484,657
XBB.1.5.97,59.7271842956543,409
XBB.1.5.99,52.942848205566406,437
XBB.1.9,36.59800338745117,999
XBB.1.9.1,61.45942687988281,14445
XBB.1.9.2,61.523277282714844,8262
XBB.1.9.5,42.618221282958984,268
XBB.2,28.029356002807617,1373
XBB.2.11.1,35.563541412353516,634
XBB.2.2,30.529207229614258,301
XBB.2.3,66.81285858154297,4597
XBB.2.3.1,60.956634521484375,329
XBB.2.3.11,76.85762786865234,1081
XBB.2.3.13,69.23896789550781,254
XBB.2.3.14,64.3289566040039,213
XBB.2.3.2,69.29862976074219,1759
XBB.2.3.3,69.4765625,826
XBB.2.3.4,64.84999084472656,235
XBB.2.3.5,68.37551879882812,430
XBB.2.3.6,65.91185760498047,749
XBB.2.3.7,63.103416442871094,288
XBB.2.3.8,72.0472640991211,1701
XBB.2.4,51.45862579345703,541
XBB.2.5,37.218101501464844,303
XBB.2.6,33.88999938964844,6901
XBB.2.6.2,36.267093658447266,276
XBB.2.8,27.10452651977539,616
XBB.3,24.85967254638672,900
XBB.3.2,28.41596794128418,230
XBB.4,27.372285842895508,247
XBB.6.1,43.79905319213867,294
XBB.8,23.30531883239746,222
XBB.9,26.167644500732422,855
XBC.1,28.200109481811523,489
XBC.1.1,37.45892333984375,720
XBC.1.3,60.607364654541016,573
XBC.1.6,71.12313079833984,1037
XBC.1.6.1,65.94444274902344,280
XBC.1.6.4,70.03150939941406,202
XBD,19.593849182128906,301
XBE,16.5622615814209,414
XBF,40.35187911987305,8913
XBF.2,40.26258087158203,489
XBF.3,42.23078155517578,524
XBF.4,46.1774787902832,219
XBF.5,43.38930892944336,511
XBF.6,43.73987579345703,228
XBK,40.68513870239258,659
XBK.1,46.1546516418457,665
XBL,57.0829963684082,304
XBL.2,56.58449172973633,215
XBL.3,61.736358642578125,351
XBM,31.095916748046875,320
XBT,37.80641174316406,246
XE,-40.571163177490234,2664
XG,-42.24736785888672,212
XJ,-57.174827575683594,262
XM,-42.233543395996094,486
XN,-38.29645919799805,476
XP,-66.87689971923828,211
XQ,-41.382469177246094,343
XZ,-36.553470611572266,438
